strategy,cumulative_return,annualized_return,annualized_volatility,downside_volatility_annualized,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,ulcer_index,time_under_water_ratio,benchmark_cumulative_return,benchmark_annualized_return,excess_cumulative_return,tracking_error_annualized,information_ratio,turnover_mean,turnover_annualized,hit_rate,avg_holding_bars,profit_factor,pilot_cumulative_return,pilot_annualized_return,pilot_annualized_volatility,pilot_downside_volatility_annualized,pilot_sharpe,pilot_sortino,pilot_max_drawdown,pilot_calmar,pilot_var_95,pilot_cvar_95,pilot_ulcer_index,pilot_time_under_water_ratio,pilot_benchmark_cumulative_return,pilot_benchmark_annualized_return,pilot_excess_cumulative_return,pilot_tracking_error_annualized,pilot_information_ratio,pilot_turnover_mean,pilot_turnover_annualized,pilot_hit_rate,pilot_avg_holding_bars,pilot_profit_factor,val_cumulative_return,val_annualized_return,val_annualized_volatility,val_downside_volatility_annualized,val_sharpe,val_sortino,val_max_drawdown,val_calmar,val_var_95,val_cvar_95,val_ulcer_index,val_time_under_water_ratio,val_benchmark_cumulative_return,val_benchmark_annualized_return,val_excess_cumulative_return,val_tracking_error_annualized,val_information_ratio,val_turnover_mean,val_turnover_annualized,val_hit_rate,val_avg_holding_bars,val_profit_factor
arima_garch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05437540106952532,-0.05451456889178086,0.05437540106952532,0.45277089513778557,-0.1027471230456632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03953948195438765,15.960507561911976,0.03953948195438765,0.6137586311954608,0.9172564625502844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1893704816168928,1.1891746655286162,-1.1893704816168928,0.5151527074427832,-1.7788171331696325,0.0,0.0,0.0,0.0,0.0
buy_and_hold,-0.05437540106952532,-0.05451456889178086,0.45277089513778557,0.29009261614918685,0.1027471230456632,0.16036570489713076,-0.3475007738156686,-0.15687610790961304,-0.007105498400900823,-0.011783219263809252,0.15372386198859683,0.9908435389721872,-0.05437540106952532,-0.05451456889178086,0.0,0.0,0.0,0.0,0.0,0.5063522948380451,8737.0,1.0033499543334237,-0.03953948195438765,15.960507561911976,0.6137586311954608,0.39467432049221807,-0.9172564625502844,-0.36763266342823364,-0.16695487330137873,302.2989386935278,-0.010083480343771324,-0.016076245929501885,0.0842103540220933,0.96875,-0.03953948195438765,15.960507561911976,0.0,0.0,0.0,0.0,0.0,0.5118055555555555,480.0,1.009557153637948,1.1773247761240189,1.177131408409072,0.5151241233866597,0.32588499231019274,1.7681772416286534,2.7949453736096883,-0.3203461801456723,3.674560464163457,-0.0080339349387063,-0.013449276133584267,0.12085137999980373,0.9812806757219495,1.1893704816168928,1.1891746655286162,-0.012045705492873982,0.005531710611743973,-1.0000000000000178,0.0001141422212076247,0.9998858577787925,0.5148401826484018,8760.0,1.05989430854314
lstm,0.925718685446246,0.9290435400358987,0.3151559501268503,0.1978623189201843,2.24224634462019,3.5714595937910314,-0.18698060619785672,4.968662573768829,-0.004727943147184455,-0.008110039377037867,0.05969960756480012,0.941856472473389,-0.05437540106952532,-0.05451456889178086,0.9800940865157713,0.507349679340796,1.3011467182569956,0.052649650909923316,461.2109419709283,0.5053387691710347,22.395652173913042,1.0980926885760316,0.14056006678497476,24.91877370831219,0.39868227652593796,0.23175124865930286,4.759744083885368,8.78705447336934,-0.0663297344095467,503.63248901958667,-0.005530528618492858,-0.009364515933003708,0.03113949605347617,0.93125,-0.03953948195438765,15.960507561911976,0.1800995487393624,0.6391827852535656,2.992315597750936,0.03819444444444445,334.5833333333333,0.5241430247118067,32.945526695526695,1.1795692097402763,0.09893249477439858,0.09892066143249445,0.3839638067534701,0.2576931745172893,0.43787490633331816,0.6524352700939692,-0.2865788544753317,0.34517781018281446,-0.005444835264082792,-0.010376758545166773,0.12081521037550322,0.9832210934824792,1.1893704816168928,1.1891746655286162,-1.0904379868424943,0.49820581517664775,-1.5018579139127197,0.04976600844652437,435.95023399155343,0.5020837467751538,23.11467889908257,1.0195387667478177
macd,-0.37405025839911277,-0.37482175330197776,0.45275415842022787,0.2754903002920516,-0.8113088596141953,-1.3333444392201628,-0.45285610575829804,-0.8276840005819213,-0.007035700436833392,-0.011180779071794357,0.20883315172677142,0.9941627560947693,-0.05437540106952532,-0.05451456889178086,-0.31967485732958745,0.6567297447363006,-0.6301593161337462,0.11331120521918278,992.6061577200412,0.4882682843081149,17.614919354838708,0.9739375067607301,0.0713837306682148,3.464028248738845,0.6150350847744644,0.33968117351118704,2.2544898514612552,4.141787004109225,-0.09509516937222262,34.86443477587611,-0.009166545966708314,-0.013860491093776336,0.04745024068178494,0.951388888888889,-0.03953948195438765,15.960507561911976,0.11092321262260245,0.902272542065826,1.621584519830309,0.1111111111111111,973.3333333333334,0.4861111111111111,17.566137566137566,1.077012511638537,0.11390783636699808,0.11389412087717754,0.5152096273171622,0.3202990137615408,0.4669518221315254,0.751104636352583,-0.3616364391348852,0.3149409422060388,-0.007955924698019201,-0.013221710839735695,0.18470040383128147,0.9924666134002967,1.1893704816168928,1.1891746655286162,-1.0754626452498948,0.7323214191219503,-0.9227975179979783,0.1080926834836206,946.8919073165164,0.49668949771689497,18.481012658227847,1.0154787972233605
sma_cross,-0.4400831877395578,-0.4409373902530901,0.4527422667068651,0.29396128387269954,-1.0575643840283762,-1.628799854544123,-0.5037844968335172,-0.8752500186578869,-0.007081425266174967,-0.011743149192306708,0.3776055925213155,0.9982831635572851,-0.05437540106952532,-0.05451456889178086,-0.38570778667003247,0.6751109132861728,-0.7781314047059312,0.019915302735492732,174.45805196291633,0.4992560375414902,99.2840909090909,0.9661615125670819,0.016464319328079124,6.7620897720409205,0.6144703832865855,0.40643206190776976,1.2444934264875607,2.556843719226554,-0.2019791955174807,57.226484822203254,-0.009675066163309346,-0.016384891838970666,0.11925723913510972,0.9444444444444443,-0.03953948195438765,15.960507561911976,0.05600380128246677,0.9559316092411825,0.4185110365010874,0.011111111111111112,97.33333333333333,0.5159722222222222,160.0,1.0469200908645053,0.7063800592793512,0.7062759823846301,0.5151667416483113,0.3188498458523449,1.2948414098717225,2.0920795125108107,-0.36135979888216474,1.9544951723169919,-0.007982050555493947,-0.013059130379990777,0.17412178163459802,0.9849332268005936,1.1893704816168928,1.1891746655286162,-0.48299042233754164,0.723852098854022,-0.3444118384373183,0.014267777650953087,124.98573222234904,0.49931506849315066,139.04761904761904,1.0435156319655787
xgb_lstm_ensemble,0.04926495141319576,0.04939779230569652,0.1689523920849675,0.11645250263831179,0.36988759956345424,0.536642779957332,-0.12966968440862514,0.38095097193288735,-0.0011453653134461117,-0.004190285517958143,0.05073039492227166,0.9664644614856358,-0.05437540106952532,-0.05451456889178086,0.10364035248272108,0.4582626459988847,0.03485443994628776,0.0476135973446263,417.0951127389264,0.4995610184372256,5.475961538461538,1.0326826413226016,-0.025024033245668487,-0.35269624871520106,0.22859288440175277,0.16706308896262104,-2.376409069309626,-3.143242579668206,-0.061664431204082826,-5.677135883423752,-0.0019247826529650118,-0.006600831537185807,0.026417680755355638,0.7784722222222222,-0.03953948195438765,15.960507561911976,0.014515448708719162,0.6103866605882005,0.19169262759024322,0.048611111111111105,425.8333333333333,0.46856668391994477,6.387205387205387,0.8249658641576686,0.13009133446564491,0.1300755591590399,0.1928316926156956,0.1253506978293573,0.7303686632137991,1.123553582068654,-0.21612959921225283,0.6018405606318529,-0.0016460051803612874,-0.004931914289029531,0.11666669180324045,0.9687250313891108,1.1893704816168928,1.1891746655286162,-1.059279147151248,0.5334372281487677,-1.4538247345959214,0.055016550622075104,481.9449834493779,0.5010266940451745,6.062240663900415,1.0588897596229159
xgboost,0.04925274276852143,0.04938554997243649,0.15308715453783933,0.10672399626847463,0.39147308779012296,0.5615372660631373,-0.09261057175802567,0.5332603938724384,-0.00037832762066170023,-0.0036302369018924954,0.04029491950540877,0.9424287512876274,-0.05437540106952532,-0.05451456889178086,0.10362814383804675,0.46264511663128366,0.028982461354716684,0.041661897676548015,364.9582236465606,0.5015806111696522,5.214285714285714,1.0375223543692427,-0.03695270365973465,-0.48246300736465453,0.20865403445192302,0.16624892987819326,-3.7655071527795143,-4.3440366891004425,-0.0603314535275414,-8.110319027379006,-0.00073798049443416,-0.005892339053019096,0.026129381841669835,0.8923611111111112,-0.03953948195438765,15.960507561911976,0.002586778294652999,0.6200436397955382,0.08039571416851803,0.04097222222222222,358.9166666666667,0.45472222222222225,6.2444444444444445,0.699196699349628,0.10041664720020327,0.1004046283599378,0.16991314092221887,0.11110419491514235,0.6479040889138395,0.9908484449914794,-0.21049747011970232,0.4769873400513617,-0.0010303941698717178,-0.00416370049316619,0.11568840042476024,0.9823079557128181,1.1893704816168928,1.1891746655286162,-1.0889538344166896,0.5417250317480358,-1.4883474016929998,0.047483164022371877,415.95251683597763,0.5016638935108153,5.778846153846154,1.0576043421331573
