tool,symbol,strategy,trade_date,cutoff_timestamp_utc,max_timestamp_used_utc,strictly_before_cutoff,status,ok,run_id_constraint
get_model_metrics,BTC/USDT,macd,2025-11-13,2025-11-13 00:00:00+00:00,2025-11-12 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,buy_and_hold,2025-11-14,2025-11-14 00:00:00+00:00,2025-11-13 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,macd,2025-11-14,2025-11-14 00:00:00+00:00,2025-11-13 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,buy_and_hold,2025-11-15,2025-11-15 00:00:00+00:00,2025-11-14 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,macd,2025-11-15,2025-11-15 00:00:00+00:00,2025-11-14 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,buy_and_hold,2025-11-16,2025-11-16 00:00:00+00:00,2025-11-15 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,macd,2025-11-16,2025-11-16 00:00:00+00:00,2025-11-15 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,buy_and_hold,2025-11-17,2025-11-17 00:00:00+00:00,2025-11-16 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,macd,2025-11-17,2025-11-17 00:00:00+00:00,2025-11-16 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,buy_and_hold,2025-11-18,2025-11-18 00:00:00+00:00,2025-11-17 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,macd,2025-11-18,2025-11-18 00:00:00+00:00,2025-11-17 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,buy_and_hold,2025-11-19,2025-11-19 00:00:00+00:00,2025-11-18 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,macd,2025-11-19,2025-11-19 00:00:00+00:00,2025-11-18 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,buy_and_hold,2025-11-20,2025-11-20 00:00:00+00:00,2025-11-19 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,macd,2025-11-20,2025-11-20 00:00:00+00:00,2025-11-19 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,buy_and_hold,2025-11-21,2025-11-21 00:00:00+00:00,2025-11-20 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,macd,2025-11-21,2025-11-21 00:00:00+00:00,2025-11-20 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,buy_and_hold,2025-11-22,2025-11-22 00:00:00+00:00,2025-11-21 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,macd,2025-11-22,2025-11-22 00:00:00+00:00,2025-11-21 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,buy_and_hold,2025-11-23,2025-11-23 00:00:00+00:00,2025-11-22 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,macd,2025-11-23,2025-11-23 00:00:00+00:00,2025-11-22 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,buy_and_hold,2025-11-24,2025-11-24 00:00:00+00:00,2025-11-23 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,macd,2025-11-24,2025-11-24 00:00:00+00:00,2025-11-23 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,buy_and_hold,2025-11-25,2025-11-25 00:00:00+00:00,2025-11-24 23:00:00+00:00,True,ok,True,pilot_2025
get_model_metrics,BTC/USDT,macd,2025-11-25,2025-11-25 00:00:00+00:00,2025-11-24 23:00:00+00:00,True,ok,True,pilot_2025
