window_key,window,tier,mode,selected_models,all_selected_worse_than_pure,any_selected_better_than_pure,best_input_by_cumret_model,best_input_by_sharpe_model,best_input_cumret,best_input_sharpe,hybrid_minus_pure_cumret,hybrid_minus_pure_sharpe,hybrid_minus_best_input_cumret,hybrid_minus_best_input_sharpe,hybrid_beats_pure_strict,hybrid_beats_best_input_strict,source_json,pure_cumulative_return,hybrid_cumulative_return,pure_annualized_return,hybrid_annualized_return,pure_annualized_volatility,hybrid_annualized_volatility,pure_downside_volatility_annualized,hybrid_downside_volatility_annualized,pure_sharpe,hybrid_sharpe,pure_sortino,hybrid_sortino,pure_max_drawdown,hybrid_max_drawdown,pure_cvar_95,hybrid_cvar_95,pure_ulcer_index,hybrid_ulcer_index,pure_time_under_water_ratio,hybrid_time_under_water_ratio
all_year,All-year,best2,metrics,"lstm, xgboost",False,True,lstm,lstm,0.9257186854463739,2.2430141057604525,-0.21625723154305276,-0.7606122141796491,-1.1143926112771476,-2.7482893607399435,False,False,TradingAgents/outputs/ay/all_year_final_comparison/tiers/best2/comparison_pure_hybrid_traditional.json,0.027583305712279182,-0.18867392583077358,0.027676116126184258,-0.18923679023264595,0.3589759519092562,0.31614561555948645,0.22744147779229174,0.21400824368649,0.2553369592001582,-0.5052752549794909,0.4030040117405452,-0.7464224450459886,-0.24875208579924157,-0.3522535925722148,-0.009064450689144663,-0.008457366879258615,0.15109440562271742,0.2111434002148197,0.9971386059288085,0.9991988096600664
all_year,All-year,best2,signals,"lstm, xgboost",False,True,lstm,lstm,0.9257186854463739,2.2430141057604525,0.13096927513479728,0.36404862842228725,-0.7671661045992975,-1.623628518138007,True,False,TradingAgents/outputs/ay/all_year_final_comparison/tiers/best2/comparison_pure_hybrid_traditional.json,0.027583305712279182,0.15855258084707646,0.027676116126184258,0.1591186650842451,0.3589759519092562,0.3220605980659457,0.22744147779229174,0.20864921755243704,0.2553369592001582,0.6193855876224454,0.4030040117405452,0.9560529156213078,-0.24875208579924157,-0.19987887395317117,-0.009064450689144663,-0.008378897097357715,0.15109440562271742,0.09422595670886433,0.9971386059288085,0.9887833352409294
all_year,All-year,mid3,metrics,"arima_garch, buy_and_hold, xgb_lstm_ensemble",False,True,xgb_lstm_ensemble,xgb_lstm_ensemble,0.04926495141321374,0.37001425171561825,0.28015615240382363,0.7394363607348514,0.2584745067028891,0.6247590682193913,True,True,TradingAgents/outputs/ay/all_year_final_comparison/tiers/mid3/comparison_pure_hybrid_traditional.json,0.027583305712279182,0.3077394581161028,0.027676116126184258,0.30890457910233327,0.3589759519092562,0.3229844611547897,0.22744147779229174,0.20537766287844658,0.2553369592001582,0.9947733199350096,0.4030040117405452,1.5644170851263923,-0.24875208579924157,-0.2627108693606177,-0.009064450689144663,-0.008240817367161785,0.15109440562271742,0.13176011304378304,0.9971386059288085,0.9934760215176834
all_year,All-year,mid3,signals,"arima_garch, buy_and_hold, xgb_lstm_ensemble",False,True,xgb_lstm_ensemble,xgb_lstm_ensemble,0.04926495141321374,0.37001425171561825,-0.18147228125480108,-0.7189703891194079,-0.20315392695573564,-0.8336476816348679,False,False,TradingAgents/outputs/ay/all_year_final_comparison/tiers/mid3/comparison_pure_hybrid_traditional.json,0.027583305712279182,-0.1538889755425219,0.027676116126184258,-0.15435814661513403,0.3589759519092562,0.2781186844849651,0.22744147779229174,0.1887641337841657,0.2553369592001582,-0.4636334299192497,0.4030040117405452,-0.6831018002595279,-0.24875208579924157,-0.3883560267224052,-0.009064450689144663,-0.0074664738703474325,0.15109440562271742,0.27651434175287376,0.9971386059288085,0.9961085040631796
all_year,All-year,worst2,metrics,"macd, sma_cross",True,False,macd,macd,-0.3740502583990395,-0.8115866575540391,-0.2965406361124332,-1.0079137284335258,0.10509292799888548,0.059009888320671666,False,True,TradingAgents/outputs/ay/all_year_final_comparison/tiers/worst2/comparison_pure_hybrid_traditional.json,0.027583305712279182,-0.268957330400154,0.027676116126184258,-0.2697171142511826,0.3589759519092562,0.3406224206937589,0.22744147779229174,0.22276589966705143,0.2553369592001582,-0.7525767692333675,0.4030040117405452,-1.1507350149968807,-0.24875208579924157,-0.3306131418105809,-0.009064450689144663,-0.009000200712848827,0.15109440562271742,0.20527381868599986,0.9971386059288085,0.9962229598260273
all_year,All-year,worst2,signals,"macd, sma_cross",True,False,macd,macd,-0.3740502583990395,-0.8115866575540391,0.123878164738489,0.3262026542219235,0.5255117288498077,1.3931262709761207,True,True,TradingAgents/outputs/ay/all_year_final_comparison/tiers/worst2/comparison_pure_hybrid_traditional.json,0.027583305712279182,0.1514614704507682,0.027676116126184258,0.15200061389405706,0.3589759519092562,0.34635095047727793,0.22744147779229174,0.22038389220338522,0.2553369592001582,0.5815396134220817,0.4030040117405452,0.9139361131849223,-0.24875208579924157,-0.3142079760798694,-0.009064450689144663,-0.008953933385605326,0.15109440562271742,0.19574033749689068,0.9971386059288085,0.989584525580863
high_volatility,High-vol shock,best2,metrics,"macd, xgb_lstm_ensemble",False,True,macd,macd,0.23786210569599509,4.147892425228281,0.15849204279996332,3.2938908122918025,-0.0817854314299904,-0.5966765333280128,True,False,TradingAgents/outputs/hvs/high_volatility_final_comparison/tiers/best2/comparison_pure_hybrid_traditional.json,-0.0024153685339586284,0.1560766742660047,-0.02901347059673809,4.846047313199898,0.6131518702128238,0.5376550715457349,0.37185361331237987,0.2976895881078352,0.25732507960846546,3.551215891900268,0.4243050172597087,6.41382604803213,-0.15250206112849862,-0.09957458798733732,-0.01549406662198696,-0.01259705180531481,0.08675149650630588,0.05360862821312664,0.9652777777777778,0.9527777777777777
high_volatility,High-vol shock,best2,signals,"macd, xgb_lstm_ensemble",False,True,macd,macd,0.23786210569599509,4.147892425228281,0.11350401145488542,2.965487068310809,-0.1267734627750683,-0.9250802773090063,True,False,TradingAgents/outputs/hvs/high_volatility_final_comparison/tiers/best2/comparison_pure_hybrid_traditional.json,-0.0024153685339586284,0.1110886429209268,-0.02901347059673809,2.605707765987159,0.6131518702128238,0.4259167175427205,0.37185361331237987,0.23809161882924484,0.25732507960846546,3.2228121479192744,0.4243050172597087,5.765215836022444,-0.15250206112849862,-0.07272357020626219,-0.01549406662198696,-0.009692346392339561,0.08675149650630588,0.033991736010505993,0.9652777777777778,0.9361111111111111
high_volatility,High-vol shock,mid3,metrics,"arima_garch, lstm, xgboost",False,False,arima_garch,arima_garch,0.0,0.0,-0.13034308908937553,-3.801330898788315,-0.13275845762333416,-3.5440058191798496,False,False,TradingAgents/outputs/hvs/high_volatility_final_comparison/tiers/mid3/comparison_pure_hybrid_traditional.json,-0.0024153685339586284,-0.13275845762333416,-0.02901347059673809,-0.8234550128512497,0.6131518702128238,0.4592349408996427,0.37185361331237987,0.36342882385009645,0.25732507960846546,-3.5440058191798496,0.4243050172597087,-4.478266984102383,-0.15250206112849862,-0.2100175032263658,-0.01549406662198696,-0.013776987743290463,0.08675149650630588,0.12505609653294122,0.9652777777777778,0.7916666666666666
high_volatility,High-vol shock,mid3,signals,"arima_garch, lstm, xgboost",False,False,arima_garch,arima_garch,0.0,0.0,0.08009381304228025,1.7723062618088874,0.07767844450832162,2.029631341417353,True,True,TradingAgents/outputs/hvs/high_volatility_final_comparison/tiers/mid3/comparison_pure_hybrid_traditional.json,-0.0024153685339586284,0.07767844450832162,-0.02901347059673809,1.4863139386770885,0.6131518702128238,0.5133130166299248,0.37185361331237987,0.31599460467853163,0.25732507960846546,2.029631341417353,0.4243050172597087,3.297006249741085,-0.15250206112849862,-0.14982711137023497,-0.01549406662198696,-0.012847904804025747,0.08675149650630588,0.045599451302954536,0.9652777777777778,0.8402777777777778
high_volatility,High-vol shock,worst2,metrics,"buy_and_hold, sma_cross",True,False,buy_and_hold,buy_and_hold,-0.09195014151914638,-1.3768040565069883,0.18277116640483515,3.6656888834385395,0.2723059393900229,5.299818019553993,True,True,TradingAgents/outputs/hvs/high_volatility_final_comparison/tiers/worst2/comparison_pure_hybrid_traditional.json,-0.0024153685339586284,0.18035579787087652,-0.02901347059673809,6.529350515631083,0.6131518702128238,0.5536233242224176,0.37185361331237987,0.33588786820792016,0.25732507960846546,3.923013963047005,0.4243050172597087,6.466062745227281,-0.15250206112849862,-0.2208367902882188,-0.01549406662198696,-0.013449501932500742,0.08675149650630588,0.09090221779878636,0.9652777777777778,0.9597222222222223
high_volatility,High-vol shock,worst2,signals,"buy_and_hold, sma_cross",True,False,buy_and_hold,buy_and_hold,-0.09195014151914638,-1.3768040565069883,0.044081260316864435,0.9588212573771402,0.13361603330205218,2.592950393492594,True,True,TradingAgents/outputs/hvs/high_volatility_final_comparison/tiers/worst2/comparison_pure_hybrid_traditional.json,-0.0024153685339586284,0.041665891782905806,-0.02901347059673809,0.643780425264646,0.6131518702128238,0.5186848075933743,0.37185361331237987,0.31354741850231427,0.25732507960846546,1.2161463369856056,0.4243050172597087,2.011806162582423,-0.15250206112849862,-0.10902001759720958,-0.01549406662198696,-0.012397236424606353,0.08675149650630588,0.04856589507941805,0.9652777777777778,0.9680555555555556
