symbol,strategy,cumulative_return,annualized_return,annualized_volatility,downside_volatility_annualized,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,ulcer_index,time_under_water_ratio,benchmark_cumulative_return,benchmark_annualized_return,excess_cumulative_return,tracking_error_annualized,information_ratio,turnover_mean,turnover_annualized,hit_rate,avg_holding_bars,profit_factor
BTC/USDT,lstm,0.925718685446246,0.9290435400358987,0.3151559501268503,0.1978623189201843,2.24224634462019,3.5714595937910314,-0.18698060619785672,4.968662573768829,-0.004727943147184455,-0.008110039377037867,0.05969960756480012,0.941856472473389,-0.05437540106952532,-0.05451456889178086,0.9800940865157713,0.507349679340796,1.3011467182569956,0.052649650909923316,461.2109419709283,0.5053387691710347,22.395652173913042,1.0980926885760316
BTC/USDT,arima_garch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05437540106952532,-0.05451456889178086,0.05437540106952532,0.45277089513778557,-0.1027471230456632,0.0,0.0,0.0,0.0,0.0
BTC/USDT,xgboost,0.04925274276852143,0.04938554997243649,0.15308715453783933,0.10672399626847463,0.39147308779012296,0.5615372660631373,-0.09261057175802567,0.5332603938724384,-0.00037832762066170023,-0.0036302369018924954,0.04029491950540877,0.9424287512876274,-0.05437540106952532,-0.05451456889178086,0.10362814383804675,0.46264511663128366,0.028982461354716684,0.041661897676548015,364.9582236465606,0.5015806111696522,5.214285714285714,1.0375223543692427
BTC/USDT,xgb_lstm_ensemble,0.04926495141319576,0.04939779230569652,0.1689523920849675,0.11645250263831179,0.36988759956345424,0.536642779957332,-0.12966968440862514,0.38095097193288735,-0.0011453653134461117,-0.004190285517958143,0.05073039492227166,0.9664644614856358,-0.05437540106952532,-0.05451456889178086,0.10364035248272108,0.4582626459988847,0.03485443994628776,0.0476135973446263,417.0951127389264,0.4995610184372256,5.475961538461538,1.0326826413226016
BTC/USDT,buy_and_hold,-0.05437540106952532,-0.05451456889178086,0.45277089513778557,0.29009261614918685,0.1027471230456632,0.16036570489713076,-0.3475007738156686,-0.15687610790961304,-0.007105498400900823,-0.011783219263809252,0.15372386198859683,0.9908435389721872,-0.05437540106952532,-0.05451456889178086,0.0,0.0,0.0,0.0,0.0,0.5063522948380451,8737.0,1.0033499543334237
BTC/USDT,sma_cross,-0.4400831877395578,-0.4409373902530901,0.4527422667068651,0.29396128387269954,-1.0575643840283762,-1.628799854544123,-0.5037844968335172,-0.8752500186578869,-0.007081425266174967,-0.011743149192306708,0.3776055925213155,0.9982831635572851,-0.05437540106952532,-0.05451456889178086,-0.38570778667003247,0.6751109132861728,-0.7781314047059312,0.019915302735492732,174.45805196291633,0.4992560375414902,99.2840909090909,0.9661615125670819
BTC/USDT,macd,-0.37405025839911277,-0.37482175330197776,0.45275415842022787,0.2754903002920516,-0.8113088596141953,-1.3333444392201628,-0.45285610575829804,-0.8276840005819213,-0.007035700436833392,-0.011180779071794357,0.20883315172677142,0.9941627560947693,-0.05437540106952532,-0.05451456889178086,-0.31967485732958745,0.6567297447363006,-0.6301593161337462,0.11331120521918278,992.6061577200412,0.4882682843081149,17.614919354838708,0.9739375067607301
ETH/USDT,lstm,0.09571478637143715,0.09597847680002669,0.5590414008608634,0.377417840525677,0.4440440057036585,0.6577298588924387,-0.47537207516016344,0.2019017982234009,-0.008093577567066766,-0.01498448557150526,0.16665254681134276,0.9859219411697379,-0.11024117881656492,-0.11051472576532684,0.20595596518800208,0.6682212646684919,0.14501638339860456,0.05516767769257182,483.26885658692913,0.505699481865285,19.93801652892562,1.0199414034941872
ETH/USDT,arima_garch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11024117881656492,-0.11051472576532684,0.11024117881656492,0.7322889877972819,-0.2066615153334384,0.0,0.0,0.0,0.0,0.0
ETH/USDT,xgboost,0.12986496551772975,0.13022818642488287,0.37226549964911965,0.2455478665651358,0.5145565122486396,0.7800989672990534,-0.21234817426177288,0.6132766946436924,-0.004440990793301757,-0.009825230848534598,0.09111144152695595,0.9613139521574912,-0.11024117881656492,-0.11051472576532684,0.24010614433429467,0.8264471110103406,0.04866093028095656,0.07508298042806455,657.7269085498455,0.4887769125057261,6.655487804878049,1.0338001944471753
ETH/USDT,xgb_lstm_ensemble,-0.13664290299588489,-0.1369767698133133,0.39355364133223,0.2804616451798915,-0.176488954636491,-0.2476555063618723,-0.26597393971416483,-0.515000717591049,-0.004869140209125233,-0.010637054875904585,0.1520520471340836,0.9813437106558315,-0.11024117881656492,-0.11051472576532684,-0.026401724179319963,0.7951828612748315,-0.2776642120760887,0.07370951127389264,645.6953187592995,0.49696479158235535,7.673913043478261,0.9891146763149498
ETH/USDT,buy_and_hold,-0.11024117881656492,-0.11051472576532684,0.7322889877972819,0.4713171278337113,0.2066615153334384,0.3210915601046647,-0.6182139385076917,-0.17876453260193167,-0.01164442634529328,-0.01915634111243569,0.3169263165502294,0.9915302735492733,-0.11024117881656492,-0.11051472576532684,0.0,0.0,0.0,0.0,0.0,0.5117317156918851,8737.0,1.0067466120329098
ETH/USDT,sma_cross,-0.3101446838140286,-0.3108185988143425,0.7322899316481982,0.4567008469123623,-0.14187071725539135,-0.22748041424536106,-0.5345602795031376,-0.5814472394081389,-0.011513491848032565,-0.01819817493354867,0.3271433555960008,0.9981687077944374,-0.11024117881656492,-0.11051472576532684,-0.19990350499746368,1.138828987257056,-0.22411306050150429,0.01854183358132082,162.42646217237038,0.49799702415016595,106.54878048780488,0.9953947232675252
ETH/USDT,macd,-0.24452008187441399,-0.2450775363098633,0.7322907573645051,0.4332870929675089,-0.019289040017224503,-0.03260006114261703,-0.5695036900771377,-0.43033529120183256,-0.011323069528755569,-0.01782288626001343,0.20224841631709015,0.9910724504978826,-0.11024117881656492,-0.11051472576532684,-0.13427890305784906,1.0417913804177386,-0.1588236769024494,0.11216664759070619,982.5798328945862,0.4841478768455992,17.79429735234216,0.9993726079806443
